coin,symbol,price,date,mkt_cap_to_volume_ratio,price_change_7d,price_change_24h,liquidity_ratio,moving_average_mkt_cap_7d,std_dev_price_7d
Compound,COMP,17.790167875,2022-03-16,17.8154843867922,51.66064267448294,0.44748152752535253,0.05613094644462018,523367039.5714286,41.351867892013594
Compound,COMP,17.790167875,2022-03-17,13.870819338353872,51.66064267448294,0.051012958569081945,0.07209379457743521,482959213.71428573,54.7749194405496
cVault.finance,CORE,17.790167875,2022-03-16,231.8501487244216,51.66064267448294,0.44748152752535253,0.004313130724744998,337916056.85714287,2544.5668728003225
cVault.finance,CORE,17.790167875,2022-03-17,266.05859022340087,51.66064267448294,0.023345251462679517,0.0006198041880018191,302542115.85714287,3319.889430037152
COTI,COTI,0.201515,2022-03-16,13.534237965465872,17.618094051750777,-0.3829034947136797,0.07388668667948742,286036680.85714287,3319.870393656577
COTI,COTI,0.204755,2022-03-17,17.68385425372574,-0.3303166976833939,0.01607820757759959,0.05654875829964014,305392842.5714286,3319.880474997294
Circuits of Value,COVAL,0.038262750519,2022-03-16,114.7870427202004,-0.878041957056388,-0.3829034947136797,0.008711784677975839,303559533.28571427,3319.907973731701
Circuits of Value,COVAL,0.037961003776,2022-03-17,184.92005987126043,-0.9996535772606681,-0.007886174906588717,0.005407742138393155,209520758.42857143,3330.482352973586
Covalent,CQT,0.308264,2022-03-16,17.48621229758009,-0.997323400191022,0.44748152752535253,0.05718791371064331,111176970.0,3341.42569900989
Covalent,CQT,0.319453,2022-03-17,42.30725241551211,-0.9999528022870988,0.03629681052604261,0.023636609396864218,113057146.71428572,2617.866971245953
Crabada,CRA,0.908045,2022-03-16,30.875532449566084,-0.9998689010613001,0.44748152752535253,0.032388105424042773,114394755.28571428,0.2958471504223603
Crabada,CRA,0.957634,2022-03-17,34.79547801333796,3.752172294866387,0.05461072964445601,0.028739366638868287,96161531.57142857,0.38382336031926995
Carry,CRE,0.007639549275,2022-03-16,4.421774741579279,-0.9626893151571391,-0.3829034947136797,0.20762941343720714,75000007.85714285,0.40676662459592283
Cronos,CRO,0.401575,2022-03-16,101.86655312165362,9.495194269962148,0.44748152752535253,0.009816764868894257,1509223368.2857144,0.37994909452980746
Cronos,CRO,0.40337,2022-03-17,157.29924134908705,9.625904477663514,0.00446989976965706,0.006357309745574332,2667166723.5535717,0.3418957341164785
Cratos,CRTS,0.002952176693,2022-03-16,15.047542945834806,-0.9904232194060935,-0.3829034947136797,0.06645603229707361,2667166723.5535717,0.38327727893607094
Cratos,CRTS,0.003236528133,2022-03-17,13.512684031716935,-0.9898685311047322,0.0963192483275932,0.07400454252114552,2667166723.5535717,0.4155693895654927
Curve DAO Token,CRV,2.02,2022-03-16,5.2422766151586835,1.2245593555385472,0.44748152752535253,0.19075681682045884,2667166723.5535717,0.7374000069129812
Curve DAO Token,CRV,2.13,2022-03-17,5.143835034739748,1.2242318046351737,0.054455445544554504,0.19440747870923797,2667166723.5535717,0.9499464720609878
Casper Network,CSPR,0.063408018304,2022-03-16,23.47216812854428,7.299968495719925,-0.3829034947136797,0.04260364847949046,2667166723.5535717,0.9432864561695968
Casper Network,CSPR,0.067306582006,2022-03-17,27.070709863692876,-0.8323934955960904,0.0614837650864426,0.03694029469619472,1830252834.2857144,0.9700439598606525
Creditcoin,CTC,1.14,2022-03-16,73.4018857569682,1.8261893546867638,0.44748152752535253,0.01362362819003009,404673798.4285714,0.9762295620184916
Creditcoin,CTC,1.17,2022-03-17,77.78020969490446,51.66064267448294,0.026315789473684292,0.01285674085892201,410252757.4285714,0.9204080567285886
CertiK,CTK,1.18,2022-03-16,10.500716263797829,51.66064267448294,0.008547008547008517,0.09523159895745309,390212797.5714286,0.8226446084546234
CertiK,CTK,1.17,2022-03-17,18.261572298959784,-0.42079207920792083,-0.008474576271186418,0.05475979743852406,289026783.4285714,0.7226022616205127
Cartesi,CTSI,0.311626,2022-03-16,9.557797751373277,-0.8536967136150235,-0.3829034947136797,0.1046266123235678,192409636.7142857,0.5502024632005481
Cartesi,CTSI,0.321965,2022-03-17,9.75603969171963,4.077670121409382,0.033177591086751335,0.10250060799247701,178874058.7142857,0.5048926908474404
Somnium Space CUBEs,CUBE,5.9,2022-03-16,266.05859022340087,51.66064267448294,0.44748152752535253,0.002918811992587219,149723149.42857143,1.9382584881357992
